ano,cod_municipio,nome_do_municipio,quantidade_de_matriculas,qt_salas_utilizadas,qt_salas_utiliza_climatizadas,qt_equip_multimidia,qt_equip_lousa_digital,qt_desktop_aluno,qt_tablet_aluno,qt_prof_pedagogia,qt_prof_gestao,qt_prof_saude,qt_prof_secretario,qt_prof_monitores,qt_escolas_com_agua_potavel,qt_escolas_com_energia_rede_publica,qt_escolas_com_esgoto_rede_publica,qt_escolas_com_lixo_servico_coleta,qt_escolas_com_banheiro_pne,qt_escolas_com_acessibilidade_rampas,qt_escolas_com_acessibilidade_sinal_visual,qt_escolas_com_orgao_conselho_escolar,qt_escolas_com_orgao_ass_pais_mestres,qt_escolas_com_orgao_gremio_estudantil,qt_escolas_com_banheiro_chuveiro,qt_escolas_com_biblioteca,qt_escolas_com_laboratorio_ciencias,qt_escolas_com_laboratorio_informatica,qt_escolas_com_quadra_esportes,ideb,media_alunos_turma,media_horas_aula,percentual_docente_curso_superior,pib_per_capita,populacao_residente,taxa_distorcao_idade_serie,grupo_1_adeq_form_docente,grupo_2_adeq_form_docente,grupo_3_adeq_form_docente,grupo_4_adeq_form_docente,grupo_5_adeq_form_docente,valor_da_producao_prod_origem_animal,area_plantada_ou_destinada_a_colheita_lavour,area_colhida_lavour,valor_da_producao_lavour,valor_da_producao_na_extracao_vegetal,efetivo_dos_rebanhos,baixa_regularidade,media_baixa_regularidade,media_alta_regularidade,alta_regularidade,nivel_1_esforco_docente,nivel_2_esforco_docente,nivel_3_esforco_docente,nivel_4_esforco_docente,nivel_5_esforco_docente,nivel_6_esforco_docente,nivel_1_gestao_escola,nivel_2_gestao_escola,nivel_3_gestao_escola,nivel_4_gestao_escola,nivel_5_gestao_escola,nivel_6_gestao_escola,valor_repassado_a_pcds_pelo_rmv,valor_repassado_a_idosos_pelo_rmv,valor_repassado_gestao_suas,valor_repassado_protecao_social_basica,valor_repassado_grupo_programas,transferencia_voluntarias_fundo_fundo,valor_total_repassado_via_fundo_municipal,valor_total_repassado_via_fundos_municipal_e_estadual,valor_repassado_gestao_programa_bolsa_familia_cadastro_unico,valor_repassado_crianca_feliz,valor_repassado_gestao_programa_auxilio_brasil,valor_repassado_protecao_social_especial_de_media_e_alta_complexidade,pessoas_com_deficiencia_beneficiarias_do_bpc,idosos_beneficiarios_do_bpc,valor_repassado_a_pcds_pelo_bpc,valor_repassado_a_idosos_pelo_bpc,total_de_beneficiarios_do_bpc,valor_total_repassado_ao_bpc,iptu,itbi,iss,irrf,fpm,cota_parte_icms,cota_parte_ipi_exp,cota_parte_ipva,cota_parte_iof_ouro,salario_educacao,pdde,pnae,pnate,convenios,operacao_de_creditos,contribuicao_na_formacao_do_fundef_fundeb_–_destinada,receita_recebida_na_redistribuicao_interna_do_fundeb_transferencia_de_recursos_do_fundeb,resultado_liquido_ganhos_ou_perdas_=_recebido_enviado,complementacao_da_uniao,receita_da_aplicacao_financeira_do_fundeb,vaaf,total_composicao_complementacao_fundeb,receitas_destinadas_ao_fundeb_fundo_estadual,receitas_recebidas_do_fundeb_fundo_estadual,valor_aplicado_em_mde,despesas_com_profissionais_da_educacao_basica,educacao_infantil,creche,pre_escola,ensino_fundamental,ensino_medio,ensino_profissional_nao_integrado_ao_ensino_regular,quota_do_salario_educacao,ideb_predito_referencia
2023,2210201,SÃO JOSÉ DO PIAUÍ,422,280,70,75,5,115,50,40,15,0,25,5,70,70,0,50,20,15,0,50,0,0,10,5,0,20,5,5.0,17.8,5.8,97.9,12280.81,6597,3.3,58.9,1.6,25.9,11.4,2.2,1350,7149,7149.0,11470.0,46,41391,0.0,0.0,76.9,23.1,37.2,20.9,27.9,4.7,7.0,2.3,64.3,7.1,7.1,21.5,0.0,0.0,15768.44,0.0,0.0,158655.69,12000.0,740000,1058909.8,1058909.8,31726.45,109839.0,6688.66,0.0,49.0,6.0,649504.26,86742.78,55.0,736247.04,29733.71,2340.0,168669.73,336340.2,13145919.56,1292957.2,303.21,220334.26,0.0,67456.46,1353.42,114233.88,37013.01,0.0,0.0,2696239.33,4017263.41,1321024.08,2015307.96,58018.99,1225061.03,2015307.96,2696239.33,4017263.41,4318559.96,5859971.21,1094626.94,78068.8,1016558.14,7551785.15,0.0,0.0,67456.46,5.920719
2023,2210300,SÃO JULIÃO,307,270,200,45,45,115,40,50,15,0,55,10,40,45,0,45,15,40,5,45,0,0,10,20,0,10,10,5.7,16.9,6.0,90.6,11258.36,6025,8.8,45.5,5.2,31.8,6.5,11.0,880,2548,2548.0,1145.0,88,30618,20.0,40.0,40.0,0.0,52.9,19.4,8.3,19.4,0.0,0.0,20.0,20.0,40.0,10.0,10.0,0.0,31536.0,0.0,0.0,153923.75,12000.0,200000,457642.85,457642.85,12050.69,73725.0,5943.41,0.0,41.0,9.0,607317.25,126216.98,50.0,733534.23,7147.98,3390.08,228612.89,277742.72,13145919.56,1850814.22,287.56,285432.41,0.0,64766.42,0.0,109573.12,22364.31,0.0,0.0,2820859.3,3880026.92,1059167.62,2451192.15,19044.89,1184953.67,2451192.15,2820859.3,3880026.92,4070052.06,5312631.66,871209.45,512182.06,359027.39,7025600.64,0.0,0.0,64766.42,5.4619164
2023,2210359,SÃO LOURENÇO DO PIAUÍ,267,355,140,60,20,75,50,55,0,0,35,0,60,60,5,25,25,30,0,35,10,5,25,10,5,10,0,4.7,11.6,7.2,100.0,12450.59,4410,5.5,77.1,0.0,22.9,0.0,0.0,2652,1273,746.0,849.0,51,87814,9.1,18.2,45.5,27.2,56.0,8.0,28.0,8.0,0.0,0.0,58.3,0.0,0.0,0.0,33.3,8.4,0.0,0.0,0.0,142866.75,12000.0,350000,615992.65,615992.65,33348.9,72177.0,5600.0,0.0,20.0,2.0,331175.88,23616.0,22.0,354791.88,3940.11,3568.88,141503.31,287669.35,13145919.56,1142624.73,232.01,71524.92,0.0,87875.86,3926.9,227380.79,108590.72,0.0,0.0,2636560.79,5239227.75,2602666.96,3451665.54,13563.42,1594695.37,3451665.54,2636560.79,5239227.75,5153064.76,6961849.41,1197275.97,222651.36,959034.61,10540810.93,0.0,0.0,87875.86,5.3224573
2023,2210375,SÃO LUIS DO PIAUÍ,148,115,20,30,0,95,0,20,0,0,25,0,20,20,0,15,15,15,0,20,0,0,5,5,0,5,0,6.6,14.8,4.3,83.3,12313.77,2309,2.7,71.6,0.0,4.9,0.0,23.5,418,1896,1896.0,1883.0,76,25898,0.0,25.0,75.0,0.0,47.0,11.8,17.6,11.8,11.8,0.0,0.0,0.0,25.0,0.0,75.0,0.0,0.0,0.0,0.0,138390.13,12000.0,0,186790.13,186790.13,30800.0,0.0,5600.0,0.0,11.0,3.0,162961.59,56472.47,14.0,219434.06,20430.6,3530.64,192448.81,94724.14,13145919.56,839438.82,82.0,60333.57,0.0,36518.78,0.0,51165.17,36914.31,297093.51,0.0,2561316.44,1975039.96,-586276.48,690007.37,2536.76,625551.23,690007.37,2561316.44,1975039.96,4090211.87,2400642.99,202887.13,40690.92,162196.21,4208888.75,0.0,0.0,36518.78,5.831477
2023,2210383,SÃO MIGUEL DA BAIXA GRANDE,160,90,65,15,5,0,125,15,5,0,15,0,15,15,0,10,10,10,0,15,0,5,5,5,0,5,5,6.3,17.1,5.7,94.7,14503.85,2269,6.3,59.1,0.0,33.3,0.0,7.6,378,1660,1651.0,2843.0,45,15578,0.0,0.0,66.7,33.3,11.1,5.6,27.8,44.4,0.0,11.1,0.0,0.0,33.3,0.0,33.3,33.4,0.0,0.0,0.0,142470.28,12000.0,510000,700870.28,700870.28,30800.0,0.0,5600.0,0.0,23.0,3.0,362664.0,47304.0,26.0,409968.0,12442.4,0.0,134409.05,97667.13,13145919.56,961012.57,100.73,21132.65,0.0,31599.31,1440.0,42417.2,119126.97,0.0,0.0,2585650.73,1808094.7,-777556.03,552602.51,0.0,552602.51,552602.51,2585650.73,1808094.7,4164017.77,2297683.22,259953.6,0.0,259953.6,4199866.18,0.0,0.0,31599.31,5.6281104
2023,2210391,SÃO MIGUEL DO FIDALGO,183,130,75,10,0,15,45,55,5,0,20,0,30,30,0,30,5,5,0,30,0,0,5,0,0,5,10,5.3,14.7,7.5,94.1,13020.74,2829,14.8,57.3,3.7,35.4,1.2,2.4,390,1135,1135.0,1153.0,118,22547,0.0,0.0,60.0,40.0,17.7,35.3,17.6,29.4,0.0,0.0,66.7,0.0,0.0,16.7,16.6,0.0,0.0,0.0,0.0,197991.75,12000.0,525000,842017.75,842017.75,30800.0,70626.0,5600.0,0.0,32.0,0.0,427274.33,10489.2,32.0,437763.53,5305.34,2275.87,736502.81,435994.02,13145919.56,1669436.49,182.47,14603.24,0.0,45265.73,5.14,72237.49,59404.48,0.0,0.0,2707098.86,2575908.31,-131190.55,835068.33,19782.57,787130.45,835068.33,2707098.86,2575908.31,4887119.74,3390205.88,1322552.73,513928.48,408321.4,5040383.43,0.0,0.0,45265.73,4.9761963
2023,2210409,SÃO MIGUEL DO TAPUIO,971,660,155,100,5,300,205,150,25,0,20,10,135,140,0,85,40,90,5,80,100,0,45,10,5,45,30,5.0,20.8,7.1,79.7,11768.94,17554,0.0,50.5,0.4,22.8,1.1,25.2,3025,4747,4747.0,4963.0,4231,149883,25.8,51.6,19.4,3.2,17.8,28.8,32.9,16.4,2.7,1.4,25.8,16.1,3.2,48.4,6.5,0.0,157681.76,15768.44,0.0,359952.94,22397.48,500000,1087760.32,1087760.32,113285.48,71916.0,20208.42,0.0,243.0,43.0,3631214.04,657124.38,286.0,4288338.42,5241.12,311629.32,483077.71,2173874.37,26291839.09,5370831.56,1467.64,750685.72,0.0,293189.83,0.0,815782.63,287313.07,278920.8,0.0,6018861.43,18465438.27,12446576.84,18200636.78,190836.05,5557913.59,18200636.78,6018861.43,18465438.27,10302075.03,25905683.86,7416963.35,1358234.44,5929099.68,34089874.56,0.0,0.0,293189.83,5.779022
2023,2210508,SÃO PEDRO DO PIAUÍ,986,435,370,90,10,105,110,65,5,0,50,5,45,55,0,50,25,35,10,55,0,0,25,5,5,20,15,4.8,21.4,7.0,98.7,11592.28,13755,4.7,73.2,0.0,26.6,0.0,0.2,1531,1860,1496.0,4503.0,269,131754,8.3,8.3,75.0,8.4,16.0,26.3,16.3,31.3,6.3,3.8,7.7,38.5,23.1,0.0,15.4,15.3,459844.76,0.0,0.0,206794.02,45233.33,0,509939.28,509939.28,103382.65,70926.0,16935.1,66668.18,220.0,42.0,3231973.09,645283.0,262.0,3877256.09,72185.16,49445.62,940573.47,1933203.68,21909865.9,2594650.3,634.54,359292.71,0.0,205291.1,0.0,642988.4,146408.89,0.0,0.0,4581181.91,13601423.0,9020241.09,8391952.86,85172.75,4138520.96,8391952.86,4581181.91,13601423.0,8013856.4,17568514.77,7668518.73,6021541.08,1646977.65,19944819.78,0.0,0.0,205291.1,5.690816
2023,2210607,SÃO RAIMUNDO NONATO,2109,1235,520,210,20,845,55,170,145,20,140,50,125,125,35,110,45,75,5,125,10,10,50,35,10,35,25,5.4,22.8,8.0,95.8,19566.06,38934,5.1,88.9,0.0,5.1,2.1,3.9,14731,4279,1917.0,5789.0,263,170169,10.3,34.5,48.3,6.9,33.3,21.0,35.5,8.0,2.2,0.0,35.3,26.5,14.7,11.8,11.7,0.0,357409.84,11808.0,0.0,425726.24,44226.68,1485000,2494571.86,2494571.86,204405.01,223257.0,32932.0,79024.93,1901.0,305.0,28717482.01,4711271.73,2206.0,33428753.74,1359732.87,321151.04,3547363.16,2912302.31,37319526.1,13835314.36,2723.19,3188050.91,0.0,448188.01,0.0,1862854.74,1162552.75,0.0,0.0,11131206.01,30326470.83,19195264.82,29569326.61,72589.4,9251985.15,29569326.61,11131206.01,30326470.83,20565308.03,50828466.2,10683385.13,7683385.13,3000000.0,60980166.87,0.0,0.0,448188.01,5.7684956
2023,2210623,SEBASTIÃO BARROS,367,255,5,15,0,25,5,15,5,0,5,5,40,30,0,25,0,5,0,15,0,0,10,0,0,0,5,3.8,13.8,7.4,31.5,17981.65,3202,27.8,20.8,0.0,5.1,0.8,73.3,734,1814,1814.0,8231.0,498,54211,12.5,25.0,62.5,0.0,19.2,31.9,27.7,19.1,0.0,2.1,33.3,44.4,0.0,11.1,11.2,0.0,0.0,0.0,0.0,176247.3,12000.0,400000,719452.3,719452.3,19600.0,106005.0,5600.0,0.0,36.0,1.0,483804.52,5280.0,37.0,489084.52,382.76,4257.91,546145.04,671167.3,13145919.56,1212565.49,231.65,64473.87,0.0,73652.24,0.0,250580.0,97180.46,476110.63,0.0,2636628.36,5031185.25,2394556.89,3412328.69,13171.93,1521535.99,3412328.69,2636628.36,5031185.25,4820857.38,7178654.51,2677473.67,415723.67,2240000.0,8448830.47,0.0,0.0,73652.24,4.1825027
